FOD1P,Major,Major_Category
0,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
1,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts
2,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts
3,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts
4,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts
5,COMPOSITION AND RHETORIC,Humanities & Liberal Arts
6,LIBERAL ARTS,Humanities & Liberal Arts
7,HUMANITIES,Humanities & Liberal Arts
8,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts
9,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts
10,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts
11,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
12,ART HISTORY AND CRITICISM,Humanities & Liberal Arts
13,HISTORY,Humanities & Liberal Arts
14,UNITED STATES HISTORY,Humanities & Liberal Arts
15,FINE ARTS,Arts
16,DRAMA AND THEATER ARTS,Arts
17,MUSIC,Arts
18,VISUAL AND PERFORMING ARTS,Arts
19,COMMERCIAL ART AND GRAPHIC DESIGN,Arts
20,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
21,STUDIO ARTS,Arts
22,MISCELLANEOUS FINE ARTS,Arts
23,COMMUNICATIONS,Communications & Journalism
24,JOURNALISM,Communications & Journalism
25,MASS MEDIA,Communications & Journalism
26,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
27,GENERAL EDUCATION,Education
28,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
29,SCHOOL STUDENT COUNSELING,Education
30,ELEMENTARY EDUCATION,Education
31,MATHEMATICS TEACHER EDUCATION,Education
32,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
33,EARLY CHILDHOOD EDUCATION,Education
34,SCIENCE AND COMPUTER TEACHER EDUCATION,Education
35,SECONDARY TEACHER EDUCATION,Education
36,SPECIAL NEEDS EDUCATION,Education
37,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
38,TEACHER EDUCATION: MULTIPLE LEVELS,Education
39,LANGUAGE AND DRAMA EDUCATION,Education
40,ART AND MUSIC EDUCATION,Education
41,MISCELLANEOUS EDUCATION,Education
42,LIBRARY SCIENCE,Education
43,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
44,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services
45,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services
46,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services
47,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services
48,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services
49,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services
50,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary
51,COURT REPORTING,Law & Public Policy
52,PRE-LAW AND LEGAL STUDIES,Law & Public Policy
53,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
54,PUBLIC ADMINISTRATION,Law & Public Policy
55,PUBLIC POLICY,Law & Public Policy
56,GENERAL AGRICULTURE,Agriculture & Natural Resources
57,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
58,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
59,ANIMAL SCIENCES,Agriculture & Natural Resources
60,FOOD SCIENCE,Agriculture & Natural Resources
61,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
62,SOIL SCIENCE,Agriculture & Natural Resources
63,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
